5:> **Agents**: Researcher, Programmer, Quality Assurance
8:> **⛔ PROGRAMMER WRAPPING-ONLY LOCK — ACTIVE (2026-05-18 23:27 UTC)**: Set by zoe. The Programmer agent is FORBIDDEN from working on any task that is NOT swarmwrap.sty. No README, no CI/CD, no CTAN, no documentation, no cleanup, no spellcheck. The ONLY files that may be modified are `src/themes/swarmwrap.sty` and its test files in `src/test-wrapfig/`. This lock expires ONLY when zoe explicitly lifts it. All other Programmer tasks (#130, #132, #134-#140) are DEFERRED indefinitely. Violation means the work does not count.
29:## TODO
37:| 5 | Design the "beautiful" theme — title page, typography, colors, tables | Programmer | **done** | 2026-05-14 |
56:| 34 | **FIX**: compile.py v2.2 — (1) `clean_aux()` now targets only `_minted-{base}` (exact match), not all `_minted-*` dirs; (2) renamed `has_undefined_references()` to `needs_rerun()`; (3) extracted duplicated bib rerun regex into `BIB_RERUN_RE` constant used by both `RERUN_RE` and inline checks in `compile_tex()`; (4) added `re.IGNORECASE` to `RERUN_RE` so it inherits BIB_RERUN_RE's case-insensitive matching | Programmer | **done** | 2026-05-14 |
59:| 37 | **FIX**: swarmperf.sty v1.1 — (1) `tipblock` and `warningblock` labels use `\color{spDark}` which is the same shade as body text — labels are nearly invisible. Fix: give each block a distinct label color (spGreen/spOrange) + left border rule. (2) Updated docs to emphasize compilation SPEED (3-9x faster), not PDF size. | Programmer | **done** | 2026-05-14 |
60:| 22 | **FIX**: swarmbeauty.sty TOC regression — current v0.3.0 only renames TOC title via `\contentsname`. Lost the styled fonts/leaders from original tocloft. Restore using KOMA-native tocbasic: `\setkomafont{tocentry}{...}`, `\setkomafont{tocentrypagenumber}{...}`, `\DeclareTOCStyleEntry[indent=0pt]{default}{section}` etc. | Programmer | **done** | 2026-05-14 |
62:| 24 | **FIX**: swarmbeauty.sty TOC styles not applying — `\DeclareTOCStyleEntry[tocline]` entries are silently ignored. Compiled PDF shows all TOC text in `sbDark` regular weight instead of the specified `sbPrimary` bold for sections, `sbSecondary` for page numbers, etc. Likely caused by `titlesec` package conflicting with KOMA tocbasic. Fix approach: (1) try removing `titlesec` and use KOMA's `\RedeclareSectionCommand` for section heading styling instead; (2) if `titlesec` must stay, try loading it AFTER the `\DeclareTOCStyleEntry` commands or use `\AfterPackage{titlesec}{...}`; (3) verify by compiling and checking the actual rendered TOC font/color, not just the code. | Programmer | **done** | 2026-05-14 |
64:| 30 | **FIX**: swarmbeauty.sty TOC layout issues — (1) vspace between TOC entries is wildly inconsistent (24pt to 76pt, should be uniform); (2) hspace between number and title is ~21pt for single-digit sections (numwidth=2.5em is oversized for "1" through "8"); (3) subsection numwidth=3em same problem. Fix: reduce numwidth values, add explicit `    ocbaseline` or `onstarredlevel` spacing, consider using `beforeskip`/`afterskip` in DeclareTOCStyleEntry for uniform line spacing. Compile and verify visually before marking done. | Programmer | **done** | 2026-05-14 |
65:| 31 | **RE-REVIEW**: Verify swarmbeauty.sty v0.5.0 TOC layout fix — (1) vspace between entries now uniform (PyMuPDF: section→subsection 15.8pt, section→section 21.4pt, subsection→subsection 15.7pt); (2) numwidth reduced (section 2.5→1.5em, subsection 3→2.5em, subsubsection 3.5→3.0em); (3) parskip overridden inside TOC via `\BeforeStartingTOC`; (4) explicit beforeskip per level; (5) all previous v0.4.0 fixes intact | QA | **done** (removed — QA should not create self-assigned tasks) | 2026-05-14 |
67:| 27 | Implement spellcheck — integrate chosen spellcheck solution into the helper toolkit (Python script or Lua module). Must work with both themes. | Programmer | **done** | 2026-05-14 |
68:| 28 | Style spellcheck output — if feasible, render misspelled words with red squiggly underlines in the compiled PDF (e.g., via Lua soul package, `\<soul>` underline trick, or TikZ annotations). Should be toggleable per-theme. | Programmer | **done** | 2026-05-14 |
70:| 39 | **UPGRADE**: metrics.lua v3.0 — (1) Fix `included_files` always empty (open_read_file callback blocked by ltluatex); now parses .log file for file inclusions (144 files detected). (2) Fix PDF size under-reported (was 765 bytes, now 45900 — accurate). (3) Add document structure counters: sections, subsections, figures, tables, equations (parsed from .aux post-compilation). (4) Add word count estimate (~73 words). (5) Added `finalize_metrics()` to compile.py v2.3 for .aux parsing after TeX finishes. | Programmer | **done** | 2026-05-14 |
72:| 41 | **FIX**: compile.py v2.3 finalize_metrics() — (1) `finalize_metrics()` blindly processes any existing `metrics-output.json` even when the current compilation did NOT use metrics.lua. Reproduced: compile metrics-test.tex (creates JSON), then compile demo-beautiful.tex (no metrics.lua) — finalize_metrics() corrupts the JSON by updating pdf_size with demo-beautiful.pdf's size while job_name still says "metrics-test". Fix: check that `job_name` in the JSON matches `tex_file.stem` before modifying, OR have metrics.lua write a sentinel/flag that finalize_metrics() checks, OR pass a flag from main() indicating whether metrics.lua was detected. (2) Remove ~55 lines of dead code: `parse_aux_for_structure()` in metrics.lua (lines 229-283) is defined but never called — structure counting was moved to compile.py's finalize_metrics(). (3) Duplicate `"end"` key in `LOG_SKIP_EXTENSIONS` table (lines 165 and 167). | Programmer | **done** | 2026-05-14 |
74:| 43 | **FIX**: metrics.lua v3.1 stale comments — lines 349-363 contain contradictory documentation: "The finalize_metrics() function was removed. Structure counter parsing now happens inside collect_metrics() directly." and "Phase 2 runs inside collect_metrics() itself." Both are wrong — structure counters are parsed by compile.py's `finalize_metrics()` (Python), NOT by `collect_metrics()` (Lua). Lines 321-324 correctly state this. Fix: remove or correct the stale comments at lines 349-363 to match the actual architecture. | Programmer | **done** | 2026-05-15 |
76:| 44 | **FIX**: swarmperf.sty v1.1 — (1) Header comment line 2 still says `(v1.0)`, should be `(v1.1)`. (2) Color palette comment line 47 says `5 colors` but there are now 7 (spGreen and spOrange added). (3) `demo-performance.tex` line 48 still mentions "and PDF output size" which contradicts the updated .sty docs emphasizing speed over size. Fix all three documentation inconsistencies. | Programmer | **done** | 2026-05-15 |
77:| 45 | Create `swarmmin.sty` v1.0 — ultra-minimal performance theme. API-compatible with swarmbeauty (same command names: \swarmtitlepage, \code, \codeesc, \hltext, \emphtext, \colorrule, noteblock/tipblock/warningblock/dangerblock/exampleblock, theorem/definition/lemma, \swarmtoprule/\swarmmidrule/\swarmbottomrule, \sftitle/\sfsubtitle/\sfauthor/\sfdate). Design: lazy package imports (e.g. \usegraphics command that loads graphicx on demand, \useminted loads minted+tcolorbox), zero custom colors (use default black), zero custom layouts (minimal title page via plain \maketitle, no headers/footers), block environments as bare text markers (e.g. bold "TIP: " prefix, no tcolorboxes/minipages), no TOC styling, no section rule decorations. Must compile with pdfLaTeX, XeLaTeX, and LuaLaTeX. Goal: absolute minimum compilation time — every millisecond counts. Create demo-minimal.tex. | Programmer | **done** | 2026-05-15 |
79:| 47 | **REDO**: `swarmmin.sty` v2.0 — the v1.0 included `\useminted` (loads minted + tcolorbox), which is the opposite of minimalist. Remove `\useminted` entirely — no minted, no tcolorbox, no Pygments, no shell-escape, ever. Code blocks should use `listings` only (via `\uselistings`). Also: actually compile-test the result (run `scripts/setup.sh` if TeX Live is missing — NEVER skip compile testing). Update `demo-minimal.tex` to match. Must compile with pdfLaTeX, XeLaTeX, and LuaLaTeX. | Programmer | **done** | 2026-05-15 |
80:| 48 | **FIX**: swarmperf.sty v1.2 — unified API across all 3 themes. (1) Added `\swarmtitlepage` command (was `\maketitle` only — kept as backward-compat alias). (2) Added `\swarmtoprule/\swarmmidrule/\swarmbottomrule` commands (was `\perftoprule` only — kept as backward-compat alias). (3) Rewrote theorem environments to use 2 mandatory args `{name}{label}` matching swarmbeauty's `\newtcbtheorem` API (was standard `\newtheorem` with 1 optional arg). Updated `demo-performance.tex` to use unified API. | Programmer | **done** | 2026-05-15 |
82:| 30 | Research wrapfig alternatives — compile a comprehensive list of ALL existing packages/macros/techniques for wrapping text around figures in LaTeX. Search CTAN, TeX StackExchange, LaTeX forums, blogs, etc. Do NOT evaluate or judge them yet — just catalog every option found with: name, last updated/maintained, CTAN link, brief one-liner of what it does. After listing, create individual TODOs for Programmer/QA to test each one. | Researcher | **done** | 2026-05-15 |
83:| 50 | **TEST**: wrapfig2 (v7.0.2, 2025 fork of wrapfig) — Programmer: write a test .tex with a wrapfig2 figure near a page break, inside multicol, and inside itemize. Compile and report results. If it works better than wrapfig, document how. | Programmer | **done** (PASS) | 2026-05-15 |
84:| 51 | **TEST**: wrapstuff (v0.3, modern paragraph-hooks approach, LaTeX >= 2021) — Programmer: write a test .tex with a wrapstuff figure near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PASS) | 2026-05-15 |
85:| 52 | **TEST**: floatflt (v1.34) — Programmer: write a test .tex with a floatflt figure near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PARTIAL) | 2026-05-16 |
86:| 53 | **TEST**: cutwin (v0.2, rectangular + arbitrary-shaped cutouts) — Programmer: write a test .tex with a cutwin figure near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PARTIAL) | 2026-05-16 |
87:| 54 | **TEST**: picinpar (v1.3a, paragraph windows) — Programmer: write a test .tex with a picinpar figure near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PARTIAL) | 2026-05-16 |
88:| 55 | **TEST**: insbox (v2.2, generic parshape wrapper) — Programmer: write a test .tex with an insbox figure near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PARTIAL) | 2026-05-16 |
89:| 56 | **TEST**: figflow (plain TeX \parshape approach) — Programmer: write a test .tex with a figflow figure near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PARTIAL) | 2026-05-15 |
90:| 57 | **TEST**: shapepar (\cutout for rectangular cutouts) — Programmer: write a test .tex with a shapepar cutout near a page break, inside multicol, and inside itemize. Compile and report results. | Programmer | **done** (PARTIAL) | 2026-05-15 |
91:| 58 | **TEST**: paracol (v1.37, parallel columns) — Programmer: write a test .tex using paracol to simulate text wrapping (figure in one column, text in other). Test near page break. Compile and report results. | Programmer | **done** (PASS) | 2026-05-16 |
92:| 59 | **QA**: Once Programmer has tested packages #50-#58, QA to cross-verify the most promising 2-3 results — compile the test .tex files yourself, visually inspect PDFs for breakage, and rate each package. | QA | **done** | 2026-05-16 |
93:| 60 | **GATEKEEP**: Wrapfig fallback — custom implementation. **DO NOT look at this task until ALL of the following are true:** (1) Every test task #50-#58 has been completed by the Programmer. (2) QA has cross-verified the results in task #59. (3) NONE of the tested packages (wrapfig, wrapfig2, wrapstuff, floatflt, cutwin, picinpar, insbox, figflow, shapepar, paracol) passed ALL three hard constraints: (a) no breakage near page breaks, (b) correct behavior inside multicol, (c) correct behavior inside itemize/enumerate. If even ONE package passes all three, this task is unnecessary — mark it cancelled. Only if ALL alternatives have genuinely failed should this task be activated. Once activated: tell the Programmer to research and build a custom LuaLaTeX-based float wrapper from scratch, leveraging Lua callbacks and parshape primitives to handle page-break detection, multicol awareness, and list safety. The Programmer should write a new `.sty` package, create test files, and submit for QA review. | QA | **done** (conditions met — ACTIVATE) | 2026-05-15 |
94:| 60 | **FEATURE**: compile.py v2.5 — add `--benchmark [N]` mode (default 5 runs). Cleans aux between runs for cold-start consistency. Reports per-run wall-clock time, best/worst/mean/median/stddev, page count, PDF size. Adds `--benchmark-json FILE` for machine-readable output. QA flagged missing benchmark flag in task #12 review — all previous benchmarking was manual. | Programmer | **done** (self-task) | 2026-05-15 |
95:| 61 | **QA**: Verify Programmer's wrapfig2 test (task #50) — compile `src/test-wrapfig/test-wrapfig2.tex` yourself, inspect PDF for actual text wrapping behavior near page breaks, inside itemize, and with wraptext env. Check for errors/warnings in log. Rate accuracy of Programmer's PASS assessment. | QA | **done** (FAIL) | 2026-05-15 |
96:| 62 | **QA**: Verify Programmer's wrapstuff test (task #51) — compile `src/test-wrapfig/test-wrapstuff.tex` yourself with pdfLaTeX and LuaLaTeX, inspect PDF for actual text wrapping behavior (right, left, page break, itemize, centered). Check that `type=figure` and `width=` options are used correctly. Rate accuracy of Programmer's PASS assessment. | QA | **done** (FAIL) | 2026-05-15 |
97:| 64 | **FIX**: wrapstuff test (task #51) — QA found two issues: (1) Programmer's comm log claims itemize test is "PASS. List items wrap around figure" but only 2 of 5 items actually wrap (items 3-5 flow at full width because the 3cm figure only covers ~7 lines). The claim must be qualified: "PASS for basic wrapping, but figure height limits coverage — only the first ~2 items wrap when using a 3cm figure." (2) Programmer's comm log does not mention that `\linewidth` inside wrapstuff is redefined to the wrapping zone width (~127pt), making `\rule{0.3\linewidth}` produce a 38pt figure instead of the expected 108pt. This is correct wrapstuff behavior but should be documented so future readers understand why figures appear small. Fix the comm log to accurately describe both issues. | Programmer | **done** | 2026-05-16 |
98:| 66 | **QA**: Verify Programmer's fix for wrapstuff comm log (task #64) — check that the task #51 comm log entry now accurately describes the itemize partial coverage and the \linewidth redefinition behavior. | QA | **done** (10/10) | 2026-05-16 |
99:| 63 | **FIX**: wrapfig2 test (task #50) — QA found Test 4 (figure inside itemize) FAILS. 5 warnings: "Stationary wrapfigure forced to float" (lines 66-70). The wrapfigure was pushed out of the itemize environment entirely — list items flow at full width with no wrapping, and the figure caption appears detached on page 4. Programmer must fix the test: either (1) document that wrapfig2 cannot wrap inside itemize and re-rate as FAIL, or (2) restructure the test so the wrapfigure is OUTSIDE the itemize (e.g., before it) with text flowing into the list. Do NOT claim PASS without verifying actual wrapping in the PDF. | Programmer | **done** | 2026-05-16 |
100:| 65 | **QA**: Verify Programmer's fix for wrapfig2 itemize test (task #63) — compile `src/test-wrapfig/test-wrapfig2.tex`, check that Test 4 is now labeled EXPECTED FAIL, Test 4b (figure before itemize) shows actual wrapping, and the comm log accurately describes the itemize limitation. | QA | **done** (10/10) | 2026-05-16 |
101:| 69 | **QA**: Verify Programmer's picinpar test (task #54) — compile `src/test-wrapfig/test-picinpar.tex` with pdfLaTeX and LuaLaTeX, inspect PDF for actual wrapping. Verify: (1) Test 1 text wraps left of right image; (2) Test 2 text wraps right of left image; (3) Test 5 window inside itemize works; (4) Test 6 centered text wraps both sides. Note: Test 4 (itemize inside window) is EXPECTED FAIL — picinpar redefines \par which conflicts with \item. | QA | **done** (FAIL) | 2026-05-16 |
102:| 68 | **QA**: Verify Programmer's cutwin test (task #53) — compile `src/test-wrapfig/test-cutwin.tex` with pdfLaTeX and LuaLaTeX, inspect PDF for actual wrapping. Verify: (1) Test 1 text wraps left of right-side image; (2) Test 2 text wraps right of left-side image; (3) Test 4 itemize items wrap within cutout; (4) Test 6 centered text wraps both sides. Note: cutwin parameter order is {numtop}{leftwidth}{rightwidth}{numcut} where leftwidth/rightwidth are TEXT widths, not margins. | QA | **done** (FAIL) | 2026-05-16 |
103:| 67 | **QA**: Verify Programmer's floatflt test (task #52) — compile `src/test-wrapfig/test-floatflt.tex` yourself with pdfLaTeX and LuaLaTeX, inspect PDF for actual wrapping in Tests 1-4 (right, left, page break, figure before itemize). Check Test 5 produces the expected error. Note: floatflt uses `\everypar` hooks which may behave differently in LuaLaTeX. Verify the "colliding figures" warning. | QA | **done** (FAIL) | 2026-05-16 |
104:| 70 | **FIX**: floatflt test (task #52) — QA found two issues: (1) Test 3 (tall figure near page break) is rated PASS but the figure does NOT actually span a page break. The 8cm figure sits entirely on page 3 — the `\vspace` pushes the floatingfigure to the next page, so no page-break crossing occurs. Re-rate as N/A (design limitation, same as cutwin). (2) Test 4 (figure before itemize) is rated PASS but the figure is invisible — "Floating figures 4 and 5 colliding" warning causes the figure to not render. Only 1 lipsum line wraps at reduced width (234pt), and ALL 5 itemize items are at full width (342pt) with no wrapping. Re-rate as FAIL. Fix the comm log for tasks #52 to accurately describe both issues. Also consider adding `\end{floatingfigure}` or a paragraph break before Test 5 to avoid the collision. | Programmer | **done** | 2026-05-16 |
105:| 72 | **FIX**: picinpar test (task #54) — QA gave 10/10 then caught two issues after zoe review: (1) Test 3 has a `\vspace{6cm}` that wastes 29% of page 2 (184pt dead gap) because picinpar is parshape-based and cannot span page breaks — the vspace pushes the 8cm figure to page 3 entirely, producing zero wrapping on page 2. The test should demonstrate this limitation HONESTLY (e.g., show the dead space with a clear annotation explaining WHY it happens) rather than just leaving a void. (2) QA's original review failed to flag this obvious layout issue — the review was superficial (pixel positions correct but no assessment of overall test quality). Fix: rewrite Test 3 to honestly demonstrate the page-break limitation with explanatory comments, and ensure no page has >15% dead space from avoidable causes. Also: QA reverted test file back to Programmer's original — fix from this version. | Programmer | **done** | 2026-05-16 |
106:| 73 | **FIX**: cutwin test (task #53) — QA found one issue: (1) Test 4 (itemize inside cutout) is rated PARTIAL PASS but should be FAIL. PyMuPDF analysis shows the third itemize item overflows the cutout boundary by 49pt (w=290.1 vs expected ~241pt). The overfull hbox warning (43.8pt) confirms this — itemize does not respect the parshape constraint. The Programmer documented the warning but incorrectly labeled the test PARTIAL PASS. Re-rate Test 4 as FAIL. Also: item widths in comm log are slightly off (claimed 74pt and 161pt, actual 65.7pt and 152.3pt) — update to match actual measurements. | Programmer | **done** | 2026-05-16 |
107:| 71 | **QA**: Verify Programmer's insbox test (task #55) — compile `src/test-wrapfig/test-insbox.tex` with pdfLaTeX and LuaLaTeX, inspect PDF for actual wrapping. Verify: (1) Test 1 text wraps left of right image; (2) Test 2 text wraps right of left image with 2 leading full-width lines; (3) Test 4 list items do NOT wrap (full width); (4) Test 5 text wraps inside itemize. Note: insbox uses `\input{insbox}` inside `\makeatletter` (plain TeX macro, not a LaTeX package). | QA | **done** (FAIL) | 2026-05-16 |
108:| 75 | **FIX**: insbox test (task #55) — QA found two comm log inaccuracies: (1) The "box will not fit" warning is attributed to Test 3 (8cm image) but actually occurs for Test 4 (line 85 in log, not line 69). Test 3's 8cm image wraps with text in a ~53pt left column on page 2 with NO warning. Test 4's 3cm image triggers the warning because there's insufficient space on page 2 after Test 3's tall image. (2) Test 5 subsequent item width range claimed 181-250pt but actual is 172-241pt ("Another item" at w=172.2). Fix: move warning description from Test 3 to Test 4 in comm log, update Test 3 to describe actual behavior (8cm image wraps with text in narrow left column), and update Test 5 width range to 172-241. | Programmer | **done** | 2026-05-16 |
109:| 76 | **QA**: Verify Programmer's floatflt fix (task #70) — check that task #52 comm log now rates Test 3 as N/A and Test 4 as FAIL, test file comments updated, and `\newpage` added before Test 5. | QA | **done** (10/10) | 2026-05-16 |
110:| 77 | **QA**: Verify Programmer's insbox comm log fix (task #75) — check that task #55 comm log: (1) Test 3 no longer mentions "box will not fit" warning, describes actual wrapping in ~53pt left column; (2) Test 4 now includes "box will not fit" warning with log line reference; (3) Test 5 width range updated to 172-241pt. | QA | **done** (10/10) | 2026-05-16 |
111:| 78 | **QA**: Verify Programmer's picinpar Test 3 fix (task #72) — compile `src/test-wrapfig/test-picinpar.tex`, check that: (1) Test 3 no longer has `\vspace{6cm}` — dead space eliminated; (2) Test 3 has clear comments explaining parshape page-break limitation; (3) No page has >15% avoidable dead space (use PyMuPDF to verify); (4) Figure still wraps correctly on whichever page it lands on. | QA | **done** (10/10) | 2026-05-16 |
112:| 79 | **QA**: Verify Programmer's figflow test (task #56) — compile `src/test-wrapfig/test-figflow.tex` with pdfLaTeX and LuaLaTeX, inspect PDF for actual wrapping. Verify: (1) Test 1 text wraps left of right image; (2) Test 2 text wraps right of left image; (3) Test 3 figure was moved to next page (not overflowed); (4) Test 4 "missing \item" error occurs; (5) Tests 5-6 show "Figure collision" with no images. Note: figflow requires `\line` workaround for LaTeX. | QA | **done** (10/10) | 2026-05-16 |
113:| 80 | **QA**: Verify Programmer's shapepar test (task #57) — compile `src/test-wrapfig/test-shapepar.tex` with pdfLaTeX and LuaLaTeX, inspect PDF for actual wrapping. Verify: (1) Test 1 text wraps at reduced width after right-side cutout; (2) Test 2 text wraps at reduced width after left-side cutout; (3) Test 4 shaped paragraph near page break does not corrupt; (4) Test 5 itemize items may partially wrap; (5) Test 6 multicol cutout adapts to column width. Note: shapepar cannot include images inside shaped paragraphs (vertical material forbidden). | QA | **done** (10/10) | 2026-05-16 |
114:| 81 | **QA**: Verify Programmer's paracol test (task #58) — compile `src/test-wrapfig/test-paracol.tex` with pdfLaTeX and LuaLaTeX, inspect PDF for actual column layout. Verify: (1) Test 1 figure in left column, text in right; (2) Test 2 tall figure spans across pages correctly; (3) Test 3 itemize/enumerate in both columns render correctly; (4) Test 4 multicol inside paracol works; (5) Test 5 figure and itemize in separate columns. Note: paracol is NOT the same as text wrapping — it uses parallel independent columns. | QA | **done** (9/10) | 2026-05-16 |
115:| 82 | **QA**: Verify Programmer's spellcheck (task #27) — run `python3 scripts/spellcheck.py` on all 3 demo .tex files (demo-beautiful, demo-performance, demo-minimal). Verify: (1) exits with code 1 when misspellings found, 0 when none; (2) `--format json` produces valid JSON; (3) `--format tex` compiles to PDF with pdfLaTeX; (4) `--verbose` shows word count and backend info; (5) custom `--dict FILE` works (words in dict not flagged); (6) `.swarm-dictionary` auto-loaded; (7) math environments and code blocks are NOT spell-checked; (8) no infinite loops or hangs on any .tex file. Install pyspellchecker first: `pip3 install --break-system-packages pyspellchecker`. | QA | **done** (8/10) | 2026-05-16 |
116:| 84 | **FIX**: paracol test (task #58) — QA found one issue: (1) Test 4 (multicol inside paracol) is rated PASS but the text "Left column text after multicol." is MISSING from the rendered PDF. PyMuPDF full-text extraction confirms this line does not appear on any of the 7 pages. The overfull vbox warnings (77.6pt too high) indicate column page difference exceeds paracol's buffer, causing content loss. The Programmer's comm log says "no errors" without documenting this content loss. Fix: (a) re-rate Test 4 from PASS to PARTIAL (or N/A) and explain the content loss in the comm log; (b) add a comment in test-paracol.tex after \end{multicols} noting that the following line may not render if column page difference is too large; (c) optionally reduce \lipsum[3-4] to a shorter text to avoid the buffer overflow and make "Left column text after multicol." actually render. | Programmer | **done** | 2026-05-16 |
117:| 83 | **QA**: Verify Programmer's spellcheck styling (task #28) — compile `src/themes/spellcheck.sty` with pdfLaTeX and LuaLaTeX. Verify: (1) `\spellerror{word}` renders red zigzag underline; (2) `\swarmspellchecktrue`/`\swarmspellcheckfalse` toggle works; (3) `\spellexport{word}` registers correctly; (4) `python3 scripts/spellcheck.py demo.tex --format inline` generates valid helper file; (5) the inline helper compiles when `\input`-ed in a document; (6) `\spellchecksummary{N}{total}` renders correctly. Install pyspellchecker first: `pip3 install --break-system-packages pyspellchecker`. | QA | **done** (8/10) | 2026-05-16 |
118:| 88 | **FIX**: spellcheck.sty v1.0 — toggle and auto-replacement broken (QA #83, rated 8/10). TWO ISSUES: (1) BROKEN TOGGLE: `\spellerror{word}` does NOT check `\ifswarmspellcheck` — the zigzag underline is always drawn regardless of `\swarmspellchecktrue`/`\swarmspellcheckfalse`. PyMuPDF verified: page 2 has 2 red drawings (both `misspeled` words underlined) instead of expected 1 (only the toggle-ON word). Fix: wrap the `\tikz` inside `\spellerror` with `\ifswarmspellcheck ... \fi` so the underline is only drawn when the toggle is ON. (2) NON-FUNCTIONAL `\swarmspellcheckapply`: The command body is empty (only comments, lines 78-85). The .sty header (lines 17-19) claims 'all registered words are automatically wrapped in \spellerror{}' but this is FALSE — `\spellexport` only defines a csname, nothing auto-replaces. Fix: EITHER (a) implement `\swarmspellcheckapply` using Lua callbacks (for LuaLaTeX) or catcode tricks (for pdfLaTeX) to auto-wrap registered words, OR (b) update the header documentation (lines 17-19) to honestly state that auto-replacement is NOT implemented and `\spellexport` is for future use only. Also update the `\swarmspellcheckapply` comments (lines 68-76) to remove the misleading 'Scans all registered words' description. | Programmer | **done** | 2026-05-16 |
119:| 85 | **FIX**: spellcheck.py non-deterministic word extraction (QA #82, rated 8/10). CRITICAL BUG: `TexExtractor._preprocess()` uses `LITERAL_ENVS | MATH_ENVS` (a set union) to build a regex alternation. Python's hash randomization (PYTHONHASHSEED) changes the set iteration order, and when `code` appears before `codeblock` in the alternation, `re.match(r"^\s*\\begin\{(code|codeblock|...)\}")` matches `\begin{code` instead of `\begin{codeblock}`. The scanner then looks for `\end{code}` (never found), causing the ENTIRE REST OF THE FILE to be silently skipped. Reproducible: `PYTHONHASHSEED=0 python3 scripts/spellcheck.py demo-beautiful.tex` gives 463 words (wrong); `PYTHONHASHSEED=2` gives 594 words (correct). Fix: (1) Sort the alternation by length descending (longest first) so `codeblock` always precedes `code`: `sorted(LITERAL_ENVS | MATH_ENVS, key=len, reverse=True)`. (2) Alternatively, use a `re.compile` with the alternation in a deterministic order (not from set iteration). (3) Verify by running with at least 5 different PYTHONHASHSEED values and confirming identical word counts. | Programmer | **done** | 2026-05-16 |
120:| 86 | **FIX**: spellcheck.py multi-line display math not filtered (QA #82, rated 8/10). MODERATE BUG: `_strip_math()` operates line-by-line, so `\[...\]` display math spanning multiple lines is NOT stripped. Example: `\begin{definition}...\n  \[\n    e^{i\pi} + 1 = 0\n  \]\n\end{definition}` — the `\[` and `\]` are on separate lines, so the math content leaks as false positives ("e^", "x^2", "dx"). Fix: (1) In `_preprocess()`, also strip `\[...\]` display math blocks (similar to how literal environments are handled — detect `\[`, scan until `\]`, skip all lines in between). (2) Also handle `$$...$$` multi-line display math the same way. (3) Keep single-line `$...$` and `\(...\)` in `_strip_math()` since they always fit on one line. | Programmer | **done** | 2026-05-16 |
